UN Region,year_smoothed,new_infections_smoothed
Central Africa,1994.8846153846155,23323.118584779244
Central Africa,1994.923076923077,23325.914739257383
Central Africa,1994.9615384615386,23327.576849543486
Central Africa,1995.0,23330.0
Central Africa,1995.0384615384614,23331.919880746314
Central Africa,1995.076923076923,23333.236783511456
Central Africa,1995.1153846153845,23335.45219821337
Central Africa,1995.1538461538462,23339.170409296272
Central Africa,1995.1923076923076,23345.386232099547
Central Africa,1995.2307692307693,23355.709113919973
Central Africa,1995.2692307692307,23372.666547131354
Central Africa,1995.3076923076924,23400.02898405572
Central Africa,1995.3461538461538,23442.932065789977
Central Africa,1995.3846153846155,23507.265985644175
Central Africa,1995.423076923077,23597.55651924943
Central Africa,1995.4615384615386,23713.171438538473
Central Africa,1995.5,23845.0
Central Africa,1995.5384615384614,23976.828561461527
Central Africa,1995.576923076923,24092.443480750575
Central Africa,1995.6153846153845,24182.73401435583
Central Africa,1995.6538461538462,24247.067934210023
Central Africa,1995.6923076923076,24289.97101594428
Central Africa,1995.7307692307693,24317.333452868646
Central Africa,1995.7692307692307,24334.290886080027
Central Africa,1995.8076923076924,24344.613767900453
Central Africa,1995.8461538461538,24350.829590703728
Central Africa,1995.8846153846155,24354.54780178663
Central Africa,1995.923076923077,24356.763216488544
Central Africa,1995.9615384615386,24358.080119253686
Central Africa,1996.0,24360.0
Central Africa,1996.0384615384614,24359.739045335453
Central Africa,1996.076923076923,24359.560048843105
Central Africa,1996.1153846153845,24359.25892451469
Central Africa,1996.1538461538462,24358.753536600507
Central Africa,1996.1923076923076,24357.908667481614
Central Africa,1996.2307692307693,24356.505557331267
Central Africa,1996.2692307692307,24354.200663496707
Central Africa,1996.3076923076924,24350.481497312816
Central Africa,1996.3461538461538,24344.65001047515
Central Africa,1996.3846153846155,24335.905594184285
Central Africa,1996.423076923077,24323.63309447095
Central Africa,1996.4615384615386,24307.918445247196
Central Africa,1996.5,24290.0
Central Africa,1996.5384615384614,24272.081554752804
Central Africa,1996.576923076923,24256.36690552905
Central Africa,1996.6153846153845,24244.09440581571
Central Africa,1996.6538461538462,24235.34998952485
Central Africa,1996.6923076923076,24229.518502687184
Central Africa,1996.7307692307693,24225.799336503293
Central Africa,1996.7692307692307,24223.494442668733
Central Africa,1996.8076923076924,24222.091332518386
Central Africa,1996.8461538461538,24221.246463399493
Central Africa,1996.8846153846155,24220.74107548531
Central Africa,1996.923076923077,24220.439951156895
Central Africa,1996.9615384615386,24220.260954664547
Central Africa,1997.0,24220.0
Central Africa,1997.0384615384614,24220.39143199682
Central Africa,1997.076923076923,24220.659926735345
Central Africa,1997.1153846153845,24221.111613227968
Central Africa,1997.1538461538462,24221.86969509924
Central Africa,1997.1923076923076,24223.136998777576
Central Africa,1997.2307692307693,24225.2416640031
Central Africa,1997.2692307692307,24228.699004754937
Central Africa,1997.3076923076924,24234.27775403078
Central Africa,1997.3461538461538,24243.024984287276
Central Africa,1997.3846153846155,24256.14160872357
Central Africa,1997.423076923077,24274.550358293574
Central Africa,1997.4615384615386,24298.122332129202
Central Africa,1997.5,24325.0
Central Africa,1997.5384615384614,24351.877667870798
Central Africa,1997.576923076923,24375.44964170643
Central Africa,1997.6153846153845,24393.85839127643
Central Africa,1997.6538461538462,24406.975015712724
Central Africa,1997.6923076923076,24415.72224596922
Central Africa,1997.7307692307693,24421.300995245063
Central Africa,1997.7692307692307,24424.7583359969
Central Africa,1997.8076923076924,24426.863001222424
Central Africa,1997.8461538461538,24428.13030490076
Central Africa,1997.8846153846155,24428.888386772032
Central Africa,1997.923076923077,24429.340073264655
