type,year,spend
Magazines,2015.090909090909,15824936141.756302
Magazines,2015.1363636363637,15814192966.329185
Magazines,2015.1818181818182,15796808657.019743
Magazines,2015.2272727272727,15769006027.259752
Magazines,2015.2727272727273,15725365279.485394
Magazines,2015.3181818181818,15658835434.988253
Magazines,2015.3636363636363,15561795063.509624
Magazines,2015.409090909091,15429001812.339195
Magazines,2015.4545454545455,15262312827.461727
Magazines,2015.5,15074350000.0
Magazines,2015.5454545454545,14886387172.538273
Magazines,2015.590909090909,14719698187.660805
Magazines,2015.6363636363637,14586904936.490376
Magazines,2015.6818181818182,14489864565.01175
Magazines,2015.7272727272727,14423334720.514606
Magazines,2015.7727272727273,14379693972.740248
Magazines,2015.8181818181818,14351891342.980257
Magazines,2015.8636363636363,14334507033.670815
Magazines,2015.909090909091,14323763858.243698
Magazines,2015.9545454545455,14317172856.883684
Magazines,2016.0,14306900000.0
Magazines,2016.0454545454545,14298831098.925682
Magazines,2016.090909090909,14293654141.964558
Magazines,2016.1363636363637,14285215825.269703
Magazines,2016.1818181818182,14271561174.606165
Magazines,2016.2272727272727,14249723367.297125
Magazines,2016.2727272727273,14215445378.16639
Magazines,2016.3181818181818,14163188957.210135
Magazines,2016.3636363636363,14086967788.499056
Magazines,2016.409090909091,13982664222.396334
Magazines,2016.4545454545455,13851736969.696957
Magazines,2016.5,13704100000.0
Magazines,2016.5454545454545,13556463030.303043
Magazines,2016.590909090909,13425535777.603666
Magazines,2016.6363636363637,13321232211.500942
Magazines,2016.6818181818182,13245011042.789865
Magazines,2016.7272727272727,13192754621.83361
Magazines,2016.7727272727273,13158476632.702875
Magazines,2016.8181818181818,13136638825.393835
Magazines,2016.8636363636363,13122984174.730297
Magazines,2016.909090909091,13114545858.035442
Magazines,2016.9545454545455,13109368901.074318
Magazines,2017.0,13101300000.0
Magazines,2017.0454545454545,13092626734.487219
Magazines,2017.090909090909,13087062021.045013
Magazines,2017.1363636363637,13077991670.510126
Magazines,2017.1818181818182,13063314280.169317
Magazines,2017.2272727272727,13039840810.949192
Magazines,2017.2727272727273,13002995384.510471
Magazines,2017.3181818181818,12946824933.351538
Magazines,2017.3636363636363,12864894763.699343
Magazines,2017.409090909091,12752778812.046623
Magazines,2017.4545454545455,12612045047.304483
Magazines,2017.5,12453350000.0
Magazines,2017.5454545454545,12294654952.695517
Magazines,2017.590909090909,12153921187.953377
Magazines,2017.6363636363637,12041805236.300657
Magazines,2017.6818181818182,11959875066.648462
Magazines,2017.7272727272727,11903704615.489529
Magazines,2017.7727272727273,11866859189.050808
Magazines,2017.8181818181818,11843385719.830683
Magazines,2017.8636363636363,11828708329.489874
Magazines,2017.909090909091,11819637978.954987
Magazines,2017.9545454545455,11814073265.512781
Magazines,2018.0,11805400000.0
Magazines,2018.0454545454545,11798658960.54906
Magazines,2018.090909090909,11794333951.382467
Magazines,2018.1363636363637,11787284289.326181
Magazines,2018.1818181818182,11775876721.187233
Magazines,2018.2272727272727,11757632660.535555
Magazines,2018.2727272727273,11728995641.082603
Magazines,2018.3181818181818,11685338816.939323
Magazines,2018.3636363636363,11621661012.422237
Magazines,2018.409090909091,11534522200.396141
Magazines,2018.4545454545455,11425141038.386507
Magazines,2018.5,11301800000.0
Magazines,2018.5454545454545,11178458961.613491
Magazines,2018.590909090909,11069077799.603859
Magazines,2018.6363636363637,10981938987.577763
Magazines,2018.6818181818182,10918261183.060677
Magazines,2018.7272727272727,10874604358.917397
Magazines,2018.7727272727273,10845967339.464445
Magazines,2018.8181818181818,10827723278.812767
Magazines,2018.8636363636363,10816315710.673819
Magazines,2018.909090909091,10809266048.617533
Magazines,2018.9545454545455,10804941039.45094
Magazines,2019.0,10798200000.0
Magazines,2019.0454545454545,10782684632.987324
Magazines,2019.090909090909,10772730069.59376
Magazines,2019.1363636363637,10756504368.06588
Magazines,2019.1818181818182,10730248386.672205
Magazines,2019.2272727272727,10688257340.799765
Magazines,2019.2727272727273,10622345567.074753
Magazines,2019.3181818181818,10521863786.168327
Magazines,2019.3636363636363,10375301150.712105
Magazines,2019.409090909091,10174739996.980078
Magazines,2019.4545454545455,9922985221.59214
Magazines,2019.5,9639100000.0
Magazines,2019.5454545454545,9355214778.40786
Magazines,2019.590909090909,9103460003.019922
Magazines,2019.6363636363637,8902898849.287895
Magazines,2019.6818181818182,8756336213.831673
