quarter,gdp,debt
1999-04-01,9524152000000.0,5638780000000.0
1999-07-01,9681856000000.0,5656271000000.0
1999-10-01,9899378000000.0,5776091000000.0
2000-01-01,10002857000000.0,5773392000000.0
2000-04-01,10247679000000.0,5685938000000.0
2000-07-01,10319825000000.0,5674179000000.0
2000-10-01,10439025000000.0,5662216000000.0
2001-01-01,10472879000000.0,5773740000000.0
2001-04-01,10597822000000.0,5726815000000.0
2001-07-01,10596294000000.0,5807464000000.0
2001-10-01,10660294000000.0,5943439000000.0
2002-01-01,10788952000000.0,6006032000000.0
2002-04-01,10893207000000.0,6126469000000.0
2002-07-01,10992051000000.0,6228236000000.0
2002-10-01,11071463000000.0,6405707000000.0
2003-01-01,11183507000000.0,6460776000000.0
2003-04-01,11312875000000.0,6670121000000.0
2003-07-01,11567326000000.0,6783320000000.0
2003-10-01,11769275000000.0,6997964000000.0
2004-01-01,11920169000000.0,7131068000000.0
2004-04-01,12108987000000.0,7274335000000.0
2004-07-01,12303340000000.0,7379053000000.0
2004-10-01,12522425000000.0,7596143000000.0
2005-01-01,12761337000000.0,7776939000000.0
2005-04-01,12910022000000.0,7836496000000.0
2005-07-01,13142873000000.0,7932710000000.0
2005-10-01,13332316000000.0,8170413000000.0
2006-01-01,13603933000000.0,8371156000000.0
2006-04-01,13749806000000.0,8420042000000.0
2006-07-01,13867469000000.0,8506974000000.0
2006-10-01,14037228000000.0,8680224000000.0
2007-01-01,14208569000000.0,8849665000000.0
2007-04-01,14382363000000.0,8867677000000.0
2007-07-01,14535003000000.0,9007653000000.0
2007-10-01,14681501000000.0,9229172000000.0
2008-01-01,14651039000000.0,9437594000000.0
2008-04-01,14805611000000.0,9492006000000.0
2008-07-01,14835187000000.0,10024725000000.0
2008-10-01,14559543000000.0,10699805000000.0
2009-01-01,14394547000000.0,11126941000000.0
2009-04-01,14352850000000.0,11545275000000.0
2009-07-01,14420312000000.0,11909828000000.0
2009-10-01,14628021000000.0,12311349000000.0
2010-01-01,14721350000000.0,12773123000000.0
2010-04-01,14926098000000.0,13201792000000.0
2010-07-01,15079917000000.0,13561622000000.0
2010-10-01,15240843000000.0,14025215000000.0
2011-01-01,15285828000000.0,14270114000000.0
2011-04-01,15496189000000.0,14343087000000.0
2011-07-01,15591850000000.0,14790340000000.0
2011-10-01,15796460000000.0,15222940000000.0
2012-01-01,16019758000000.0,15606518000000.0
2012-04-01,16152257000000.0,15855037000000.0
2012-07-01,16257151000000.0,16066240000000.0
2012-10-01,16358863000000.0,16432730000000.0
2013-01-01,16569591000000.0,16771381000000.0
2013-04-01,16637926000000.0,16738320000000.0
2013-07-01,16848748000000.0,16738180000000.0
2013-10-01,17083136999999.998,17156119000000.0
2014-01-01,17104555000000.0,17601227000000.0
2014-04-01,17432909000000.0,17632606000000.0
2014-07-01,17721657000000.0,17824071000000.0
2014-10-01,17849912000000.0,18141444000000.0
2015-01-01,18003399000000.0,18152056000000.0
2015-04-01,18223577000000.0,18151998000000.0
2015-07-01,18347425000000.0,18150618000000.0
2015-10-01,18378803000000.0,18922179000000.0
2016-01-01,18470156000000.0,19264939000000.0
2016-04-01,18656207000000.0,19381591000000.0
2016-07-01,18821359000000.0,19573445000000.0
2016-10-01,19032580000000.0,19976827000000.0
2017-01-01,19237435000000.0,19846420000000.0
2017-04-01,19379232000000.0,19844554000000.0
2017-07-01,19617288000000.0,20244900000000.0
2017-10-01,19937963000000.0,20492747000000.0
2018-01-01,20242215000000.0,21089643000000.0
2018-04-01,20552653000000.0,21195070000000.0
2018-07-01,20742723000000.0,21516058000000.0
2018-10-01,20909853000000.0,21974096000000.0
2019-01-01,21115309000000.0,22027880000000.0
2019-04-01,21329877000000.0,22023283000000.0
2019-07-01,21540325000000.0,22719402000000.0
2019-10-01,21747394000000.0,23201380000000.0
2020-01-01,21561139000000.0,23223813000000.0
2020-04-01,19520114000000.0,26477241000000.0
2020-07-01,21157635000000.0,
